Date,Close
2024-09-19,137.2899932861328
2024-09-20,139.72000122070312
2024-09-23,139.50999450683594
2024-09-24,141.67999267578125
2024-09-25,143.92999267578125
2024-09-26,143.02000427246094
2024-09-27,142.22999572753906
2024-09-30,142.72999572753906
2024-10-01,141.92999267578125
2024-10-02,143.5800018310547
2024-10-03,142.1199951171875
2024-10-04,144.86000061035156
2024-10-07,142.0800018310547
2024-10-08,143.3000030517578
2024-10-09,142.64999389648438
2024-10-10,144.49000549316406
2024-10-11,149.44000244140625
2024-10-14,150.02000427246094
2024-10-15,148.8699951171875
2024-10-16,149.86000061035156
2024-10-17,151.39999389648438
2024-10-18,151.97999572753906
2024-10-21,152.88999938964844
2024-10-22,152.5399932861328
2024-10-23,150.9199981689453
2024-10-24,153.19000244140625
2024-10-25,153.8800048828125
2024-10-28,153.3699951171875
2024-10-29,155.1999969482422
2024-10-30,155.25
2024-10-31,156.6999969482422
2024-11-01,155.66000366210938
2024-11-04,157.24000549316406
2024-11-05,159.4600067138672
2024-11-06,169.63999938964844
2024-11-07,170.58999633789062
2024-11-08,171.39999389648438
2024-11-11,174.9499969482422
2024-11-12,176.49000549316406
2024-11-13,175.75999450683594
2024-11-14,173.8000030517578
2024-11-15,169.42999267578125
2024-11-18,172.72999572753906
2024-11-19,176.17999267578125
2024-11-20,172.1999969482422
2024-11-21,173.1699981689453
2024-11-22,177.24000549316406
2024-11-25,179.10000610351562
2024-11-26,179.00999450683594
2024-11-27,178.44000244140625
2024-11-29,180.47999572753906
2024-12-02,176.3699951171875
2024-12-03,176.08999633789062
2024-12-04,176.8800048828125
2024-12-05,175.88999938964844
2024-12-06,178.47999572753906
2024-12-09,175.63999938964844
2024-12-10,173.89999389648438
2024-12-11,176.41000366210938
2024-12-12,176.02000427246094
2024-12-13,175.08999633789062
2024-12-16,179.5
2024-12-17,177.0
2024-12-18,165.38999938964844
2024-12-19,167.64999389648438
2024-12-20,171.0
2024-12-23,169.94000244140625
2024-12-24,171.80999755859375
2024-12-26,170.57000732421875
2024-12-27,169.33999633789062
2024-12-30,169.60000610351562
2024-12-31,167.75
2025-01-02,170.64999389648438
2025-01-03,174.9600067138672
2025-01-06,175.02000427246094
2025-01-07,170.0
2025-01-08,173.72000122070312
2025-01-10,170.1199951171875
2025-01-13,168.3699951171875
2025-01-14,169.3300018310547
2025-01-15,171.19000244140625
2025-01-16,170.85000610351562
2025-01-17,174.47999572753906
2025-01-21,178.10000610351562
2025-01-22,177.67999267578125
2025-01-23,183.1300048828125
2025-01-24,183.32000732421875
2025-01-27,182.47999572753906
2025-01-28,184.49000549316406
2025-01-29,185.77999877929688
2025-01-30,188.57000732421875
2025-01-31,188.8300018310547
2025-02-03,190.8000030517578
2025-02-04,194.57000732421875
2025-02-05,195.99000549316406
2025-02-06,196.4499969482422
2025-02-07,195.5399932861328
2025-02-10,192.6300048828125
2025-02-11,193.08999633789062
2025-02-12,200.88999938964844
2025-02-13,205.63999938964844
2025-02-14,213.3800048828125
2025-02-18,211.97000122070312
2025-02-19,213.24000549316406
2025-02-20,202.25
2025-02-21,199.94000244140625
2025-02-24,195.8699951171875
2025-02-25,191.27000427246094
2025-02-26,198.60000610351562
2025-02-27,195.83999633789062
2025-02-28,198.44000244140625
2025-03-03,198.10000610351562
2025-03-04,193.41000366210938
2025-03-05,195.0800018310547
2025-03-06,180.11000061035156
2025-03-07,178.0800018310547
2025-03-10,177.86000061035156
2025-03-11,183.72999572753906
2025-03-12,187.6999969482422
2025-03-13,178.2899932861328
2025-03-14,183.5
2025-03-17,189.86000061035156
2025-03-18,185.2100067138672
2025-03-19,190.66000366210938
2025-03-20,192.92999267578125
2025-03-21,190.6199951171875
2025-03-24,198.97999572753906
2025-03-25,199.72000122070312
2025-03-26,192.8699951171875
2025-03-27,194.02000427246094
2025-03-28,182.61000061035156
2025-03-31,182.77000427246094
2025-04-01,182.4199981689453
2025-04-02,189.25
2025-04-03,173.99000549316406
2025-04-04,163.16000366210938
2025-04-07,166.3000030517578
2025-04-08,165.75
2025-04-09,188.5800018310547
2025-04-10,178.52000427246094
2025-04-11,180.49000549316406
2025-04-14,181.85000610351562
2025-04-15,181.5500030517578
2025-04-16,179.38999938964844
2025-04-17,181.24000549316406
2025-04-21,171.82000732421875
2025-04-22,176.61000061035156
2025-04-23,181.19000244140625
2025-04-24,187.22000122070312
2025-04-25,187.75999450683594
2025-04-28,187.8800048828125
2025-04-29,191.22999572753906
2025-04-30,192.88999938964844
2025-05-01,196.1999969482422
2025-05-02,205.08999633789062
2025-05-05,205.39999389648438
2025-05-06,190.11000061035156
2025-05-07,176.99000549316406
2025-05-08,182.9600067138672
2025-05-09,183.52000427246094
2025-05-12,192.10000610351562
2025-05-13,197.8000030517578
2025-05-14,196.83999633789062
2025-05-15,197.10000610351562
2025-05-16,202.0
2025-05-19,202.17999267578125
2025-05-20,205.17999267578125
2025-05-21,204.77000427246094
2025-05-22,200.8699951171875
2025-05-23,206.14999389648438
2025-05-27,204.88999938964844
2025-05-28,206.58999633789062
2025-05-29,204.5800018310547
2025-05-30,208.64999389648438
2025-06-02,212.7899932861328
2025-06-03,213.6999969482422
2025-06-04,220.22999572753906
2025-06-05,215.83999633789062
2025-06-06,218.4499969482422
2025-06-09,217.49000549316406
2025-06-10,214.97000122070312
2025-06-11,217.8000030517578
2025-06-12,216.60000610351562
2025-06-13,218.9600067138672
2025-06-16,221.72999572753906
2025-06-17,219.38999938964844
2025-06-18,220.5800018310547
2025-06-20,220.4600067138672
2025-06-23,230.32000732421875
2025-06-24,236.1699981689453
2025-06-25,232.67999267578125
2025-06-26,239.63999938964844
2025-06-27,242.31500244140625
2025-06-30,246.50999450683594
2025-07-01,238.00999450683594
2025-07-02,238.8000030517578
2025-07-03,238.7899932861328
2025-07-07,246.88999938964844
2025-07-08,241.47000122070312
2025-07-09,246.05999755859375
2025-07-10,238.24000549316406
2025-07-11,240.44000244140625
2025-07-14,242.85000610351562
2025-07-15,236.77000427246094
2025-07-16,234.5
2025-07-17,235.02000427246094
2025-07-18,239.1699981689453
2025-07-21,240.52999877929688
2025-07-22,239.82000732421875
2025-07-23,240.55999755859375
2025-07-24,243.69000244140625
2025-07-25,249.9199981689453
2025-07-28,246.44000244140625
2025-07-29,243.1999969482422
2025-07-30,248.0
2025-07-31,250.25
2025-08-01,248.35000610351562
2025-08-04,258.0199890136719
2025-08-05,255.27999877929688
2025-08-06,258.0799865722656
2025-08-07,270.989990234375
2025-08-08,259.19000244140625
2025-08-11,256.0899963378906
2025-08-12,264.32000732421875
2025-08-13,254.1999969482422
2025-08-14,247.44000244140625
2025-08-15,248.0
2025-08-18,253.33999633789062
2025-08-19,248.3699951171875
2025-08-20,243.82000732421875
2025-08-21,245.17999267578125
2025-08-22,247.32000732421875
2025-08-25,245.27999877929688
2025-08-26,248.7899932861328
2025-08-27,245.64999389648438
2025-08-28,247.3300018310547
2025-08-29,245.25
2025-09-02,244.10000610351562
2025-09-03,248.8300018310547
2025-09-04,248.77999877929688
2025-09-05,246.85000610351562
2025-09-08,250.60000610351562
2025-09-09,256.5299987792969
2025-09-10,257.42999267578125
2025-09-11,260.19000244140625
2025-09-12,257.9800109863281
2025-09-15,258.0899963378906
2025-09-16,263.0899963378906
2025-09-17,259.25
2025-09-18,268.07000732421875
2025-09-19,265.2900085449219
2025-09-22,262.75
2025-09-23,265.75
2025-09-24,260.739990234375
2025-09-25,262.0799865722656
2025-09-26,262.4700012207031
2025-09-29,272.5
2025-09-30,271.989990234375
2025-10-01,267.6400146484375
2025-10-02,270.0899963378906
2025-10-03,271.2200012207031
2025-10-06,281.739990234375
2025-10-07,276.7799987792969
2025-10-08,281.04998779296875
2025-10-09,275.44000244140625
2025-10-10,266.0199890136719
2025-10-13,273.5199890136719
2025-10-14,270.5400085449219
2025-10-15,272.6099853515625
2025-10-16,266.6700134277344
2025-10-17,263.05999755859375
2025-10-20,265.3699951171875
2025-10-21,261.9700012207031
2025-10-22,252.30999755859375
2025-10-23,254.58999633789062
2025-10-24,258.1499938964844
2025-10-27,263.3500061035156
2025-10-28,261.4200134277344
2025-10-29,266.05999755859375
2025-10-30,254.07000732421875
2025-10-31,254.3699951171875
2025-11-03,242.0500030517578
2025-11-04,239.92999267578125
2025-11-05,238.0
2025-11-06,196.4600067138672
2025-11-07,204.30999755859375
2025-11-10,204.0800018310547
2025-11-11,200.6300048828125
2025-11-12,196.50999450683594
2025-11-13,195.2100067138672
2025-11-14,206.9600067138672
2025-11-17,210.64999389648438
2025-11-18,212.0800018310547
2025-11-19,202.31500244140625
2025-11-20,187.72999572753906
2025-11-21,189.6300048828125
2025-11-24,188.0800018310547
2025-11-25,195.49000549316406
2025-11-26,195.97999572753906
2025-11-28,198.3699951171875
2025-12-01,205.5800018310547
2025-12-02,216.97999572753906
2025-12-03,222.47999572753906
2025-12-04,221.19000244140625
2025-12-05,225.0
2025-12-08,225.42999267578125
2025-12-09,229.99000549316406
2025-12-10,220.3000030517578
2025-12-11,224.52000427246094
2025-12-12,227.49000549316406
2025-12-15,226.97999572753906
2025-12-16,227.94000244140625
2025-12-17,221.3000030517578
2025-12-18,230.94000244140625
2025-12-19,234.25
2025-12-22,234.88999938964844
2025-12-23,232.6999969482422
2025-12-24,232.05999755859375
2025-12-26,233.9499969482422
2025-12-29,231.00999450683594
2025-12-30,228.1300048828125
2025-12-31,226.47999572753906
2026-01-02,219.7899932861328
2026-01-05,226.72000122070312
2026-01-06,229.3800048828125
2026-01-07,230.52000427246094
2026-01-08,224.10000610351562
2026-01-09,215.55999755859375
2026-01-12,214.8699951171875
2026-01-13,217.39999389648438
2026-01-14,213.1300048828125
2026-01-15,210.11000061035156
2026-01-16,205.32000732421875
2026-01-20,205.6699981689453
2026-01-21,206.47999572753906
2026-01-22,207.64999389648438
2026-01-23,207.22999572753906
2026-01-26,209.41000366210938
2026-01-27,207.36000061035156
2026-01-28,206.66000366210938
2026-01-29,207.67999267578125
2026-01-30,204.6199951171875
2026-02-02,207.6699981689453
2026-02-03,202.0
2026-02-04,195.8300018310547
2026-02-05,183.86000061035156
2026-02-06,182.47000122070312
2026-02-09,186.24000549316406
2026-02-10,185.63999938964844
2026-02-11,175.47000122070312
2026-02-12,161.13999938964844
2026-02-13,160.33999633789062
2026-02-17,162.33999633789062
2026-02-18,173.3800048828125
2026-02-19,176.19000244140625
2026-02-20,176.2899932861328
2026-02-23,164.66000366210938
2026-02-24,164.3800048828125
2026-02-25,173.05999755859375
2026-02-26,180.41000366210938
2026-02-27,176.47000122070312
2026-03-02,176.41000366210938
2026-03-03,175.4600067138672
2026-03-04,177.75
2026-03-05,183.47999572753906
2026-03-06,179.1699981689453
2026-03-09,176.58999633789062
2026-03-10,169.92999267578125
2026-03-11,169.47999572753906
2026-03-12,161.75
2026-03-13,161.36000061035156
2026-03-16,167.77999877929688
2026-03-17,169.80999755859375
2026-03-18,164.99000549316406
2026-03-19,159.25999450683594
2026-03-20,156.63999938964844
2026-03-23,159.97999572753906
2026-03-24,154.72999572753906
2026-03-25,152.9199981689453
2026-03-26,151.9600067138672
2026-03-27,146.60000610351562
2026-03-30,148.00999450683594
2026-03-31,150.14999389648438
2026-04-01,150.5
2026-04-02,156.4499969482422
2026-04-06,155.07000732421875
2026-04-07,155.89999389648438
2026-04-08,160.69000244140625
2026-04-09,154.5500030517578
2026-04-10,152.5800018310547
2026-04-13,159.61000061035156
2026-04-14,163.5500030517578
2026-04-15,179.93499755859375
2026-04-16,179.3300018310547
2026-04-17,183.88999938964844
2026-04-20,189.8000030517578
2026-04-21,182.4499969482422
2026-04-22,182.27000427246094
2026-04-23,177.0
2026-04-24,176.77999877929688
2026-04-27,174.05999755859375
2026-04-28,171.97000122070312
2026-04-29,169.3300018310547
2026-04-30,168.64999389648438
2026-05-01,175.83999633789062
2026-05-04,172.57000732421875
2026-05-05,166.13999938964844
2026-05-06,167.97000122070312
2026-05-07,171.35000610351562
2026-05-08,163.92999267578125
2026-05-11,157.3300018310547
2026-05-12,155.19000244140625
2026-05-13,149.07000732421875
2026-05-14,153.6999969482422
2026-05-15,159.1999969482422
2026-05-18,162.6699981689453
2026-05-19,154.64999389648438
2026-05-20,160.72999572753906
2026-05-21,159.27000427246094
2026-05-22,160.25
2026-05-26,154.0
2026-05-27,157.5800018310547
2026-05-28,156.6999969482422
2026-05-29,159.2899932861328
2026-06-01,164.77999877929688
2026-06-02,156.9499969482422
2026-06-03,154.5800018310547
2026-06-04,160.07000732421875
2026-06-05,156.8000030517578
2026-06-08,152.49000549316406
2026-06-09,155.6699981689453
2026-06-10,151.0
2026-06-11,154.58999633789062
2026-06-12,150.5800018310547
2026-06-15,168.08999633789062
2026-06-16,170.02999877929688
2026-06-17,165.66000366210938
2026-06-18,173.4600067138672
2026-06-22,172.0800018310547
2026-06-23,171.52000427246094
2026-06-24,177.92999267578125
2026-06-25,176.91000366210938
2026-06-26,183.08999633789062
2026-06-29,184.82000732421875
2026-06-30,184.52999877929688
2026-07-01,188.8699951171875
2026-07-02,192.00999450683594
2026-07-06,188.4600067138672
2026-07-07,195.72000122070312
2026-07-08,189.35000610351562
2026-07-09,192.35000610351562
2026-07-10,191.82000732421875
2026-07-13,189.57000732421875
2026-07-14,187.7899932861328
2026-07-15,190.16000366210938
2026-07-16,186.36000061035156
2026-07-17,184.13999938964844
2026-07-20,189.02000427246094
2026-07-21,188.0399932861328
2026-07-22,177.72999572753906
2026-07-23,169.77000427246094
2026-07-24,172.91000366210938
2026-07-27,184.3699951171875
2026-07-28,195.52000427246094
2026-07-29,193.52999877929688
2026-07-30,197.52999877929688
2026-07-31,196.16000366210938
2026-08-03,200.5
2026-08-04,202.3699951171875
2026-08-05,207.27000427246094
2026-08-06,213.25999450683594
2026-08-07,216.25999450683594
2026-08-10,209.86000061035156
2026-08-11,212.0
2026-08-12,212.49000549316406
2026-08-13,216.25999450683594
2026-08-14,217.02000427246094
2026-08-17,212.72000122070312
2026-08-18,220.66000366210938
